,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
D7_x,12.7271,13.4608,16.0113,16.1471,16.336,16.5189,16.6362,16.6935,16.7148,16.7178,16.7117,16.7036,16.6973,16.6911,16.6848,16.6786,16.6722,16.6658,16.6594,16.6528,16.6463,16.6396,16.6329,16.6262,16.6194,16.6125,16.6055,16.5985,16.5915,16.5844,16.5772,16.5699,16.5626,16.5552,16.5477,16.5402,16.5326,16.525,16.5335,16.5262,16.5183,16.5103,16.5023,16.4942,16.4875,16.4792,16.4695,16.4596,16.4497,16.4397
D7_y,419.024,418.443,415.232,414.985,414.596,414.178,413.884,413.733,413.678,413.673,413.691,413.712,413.729,413.747,413.765,413.782,413.799,413.817,413.834,413.851,413.867,413.884,413.9,413.916,413.933,413.949,413.964,413.98,413.996,414.011,414.026,414.041,414.056,414.071,414.086,414.1,414.115,414.129,414.15,414.163,414.177,414.19,414.204,414.218,414.228,414.238,414.25,414.263,414.276,414.288
D8_x,409.673,409.338,409.315,409.284,409.214,409.171,409.079,408.99,408.915,408.837,408.761,408.708,408.673,408.649,408.63,408.61,408.59,408.57,408.55,408.53,408.51,408.49,408.47,408.45,408.43,408.41,408.39,408.37,408.35,408.33,408.31,408.29,408.27,408.25,408.23,408.211,408.191,408.171,408.151,408.131,408.111,408.091,408.071,408.051,408.031,408.011,407.991,407.971,407.951,407.931
D8_y,435.545,435.893,435.891,435.905,435.962,435.988,436.064,436.133,436.186,436.199,436.186,436.179,436.179,436.184,436.185,436.187,436.189,436.19,436.192,436.193,436.195,436.196,436.198,436.199,436.2,436.202,436.203,436.205,436.206,436.207,436.209,436.21,436.211,436.212,436.214,436.215,436.216,436.217,436.219,436.22,436.221,436.222,436.223,436.224,436.225,436.226,436.227,436.228,436.229,436.23
D9_x,90.2391,90.193,90.0596,89.914,89.364,89.1001,88.5205,88.5141,88.5078,88.5014,88.4981,88.6353,88.8581,89.1479,89.4818,89.7847,90.0137,90.1669,90.2641,90.3388,90.3951,90.4386,90.4734,90.5024,90.5226,90.544,90.564,90.5829,90.601,90.6183,90.6351,90.6513,90.6671,90.6825,90.6973,90.7118,90.7259,90.7395,90.7528,90.7657,90.7782,90.7904,90.8022,90.8136,90.8246,90.8354,90.8458,90.8558,90.8676,90.8784
D9_y,313.068,313.458,314.522,315.581,317.564,318.603,320.303,320.322,320.341,320.359,320.379,320.446,320.537,320.642,320.75,320.84,320.907,320.956,320.994,321.026,321.056,321.083,321.108,321.133,321.156,321.179,321.202,321.225,321.247,321.27,321.292,321.314,321.336,321.358,321.38,321.402,321.424,321.445,321.467,321.489,321.51,321.531,321.552,321.574,321.595,321.616,321.637,321.658,321.659,321.66
D10_x,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919,209.919
D10_y,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555,396.555
D11_x,216.947,216.947,216.947,217.201,217.274,217.76,217.944,217.959,217.96,218.014,218.834,219.012,219.325,219.518,219.575,219.6,219.703,219.925,220.161,220.402,220.628,220.789,220.928,221.057,221.179,221.293,221.399,221.501,221.595,221.678,221.745,221.794,221.826,221.848,221.862,221.871,221.877,221.881,221.883,221.885,221.886,221.887,221.888,221.888,221.889,221.889,221.89,221.89,221.891,221.891
D11_y,92.2458,92.2458,92.2458,91.784,91.6482,91.8223,91.9101,91.9173,91.9179,91.9373,92.2514,92.3486,92.8085,92.8138,92.7826,92.7693,92.7855,92.8634,92.9946,93.159,93.3219,93.437,93.4406,93.378,93.3093,93.2472,93.1936,93.1473,93.1063,93.0695,93.0379,93.0129,92.9946,92.9824,92.9743,92.9692,92.966,92.9639,92.9627,92.9619,92.9613,92.9609,92.9607,92.9604,92.9602,92.9601,92.9599,92.9598,92.9596,92.9595
D12_x,168.339,168.339,168.339,168.19,167.24,166.555,166.433,166.305,166.096,165.83,165.552,165.287,165.047,164.837,164.66,164.516,164.392,164.274,164.16,164.05,163.942,163.843,163.754,163.67,163.593,163.53,163.479,163.436,163.397,163.359,163.323,163.288,163.253,163.219,163.185,163.151,163.107,163.07,163.039,163.011,162.99,162.969,162.946,162.921,162.893,162.866,162.838,162.811,162.784,162.757
D12_y,281.745,281.745,281.745,281.962,283.469,284.689,284.776,284.653,284.577,284.527,284.493,284.47,284.455,284.447,284.442,284.434,284.421,284.403,284.382,284.36,284.336,284.311,284.284,284.255,284.238,284.232,284.227,284.22,284.213,284.206,284.199,284.191,284.183,284.175,284.167,284.159,284.153,284.148,284.143,284.15,284.153,284.151,284.144,284.135,284.128,284.12,284.112,284.105,284.098,284.093
D13_x,193.231,196.241,197.136,197.35,197.483,197.549,197.572,197.561,197.565,197.564,197.551,197.538,197.527,197.515,197.503,197.491,197.48,197.468,197.456,197.444,197.432,197.42,197.408,197.396,197.384,197.372,197.36,197.348,197.352,197.357,197.362,197.366,197.371,197.375,197.38,197.384,197.389,197.393,197.397,197.402,197.406,197.41,197.414,197.419,197.423,197.427,197.431,197.435,197.439,197.443
D13_y,201.394,201.371,198.863,198.278,197.874,197.632,197.525,197.545,197.509,197.485,197.517,197.541,197.559,197.577,197.595,197.613,197.631,197.649,197.667,197.684,197.701,197.719,197.736,197.753,197.77,197.786,197.803,197.819,197.846,197.873,197.899,197.926,197.953,197.979,198.006,198.032,198.059,198.085,198.111,198.138,198.164,198.19,198.216,198.242,198.268,198.294,198.32,198.345,198.371,198.397
D14_x,457.582,459.091,460.15,460.486,460.145,459.74,459.588,459.676,459.757,459.813,459.844,459.933,460.12,460.318,460.524,460.71,460.783,460.813,460.871,460.922,460.968,461.003,461.056,461.113,461.169,461.231,461.301,461.37,461.434,461.49,461.538,461.581,461.62,461.657,461.693,461.718,461.741,461.764,461.789,461.82,461.86,461.91,461.944,461.966,461.986,462.005,462.023,462.042,462.06,462.078
D14_y,232.146,234.203,234.823,234.326,233.274,231.31,229.093,227.959,227.469,227.239,227.174,226.812,225.965,225.075,224.163,223.346,223.132,223.138,223.005,222.907,222.841,222.825,222.728,222.613,222.501,222.37,222.201,222.038,221.899,221.797,221.732,221.693,221.672,221.659,221.653,221.644,221.638,221.632,221.622,221.602,221.559,221.494,221.472,221.467,221.465,221.465,221.466,221.468,221.469,221.471
D15_x,89.2027,88.7426,88.6438,88.5053,88.5922,88.5979,88.575,88.546,88.526,88.5098,88.506,88.5192,88.5277,88.5271,88.5195,88.5075,88.4924,88.4753,88.4551,88.4321,88.4147,88.3963,88.3752,88.352,88.3289,88.3051,88.2811,88.257,88.2328,88.2085,88.184,88.1595,88.1348,88.11,88.0971,88.0841,88.071,88.0577,88.0443,88.0308,88.0172,88.0034,87.9895,87.9698,87.9432,87.9169,87.891,87.8654,87.8403,87.8157
D15_y,217.646,218.071,218.158,218.289,218.186,218.167,218.177,218.194,218.202,218.205,218.196,218.169,218.147,218.126,218.108,218.092,218.078,218.065,218.054,218.045,218.032,218.02,218.009,217.999,217.989,217.98,217.97,217.96,217.95,217.94,217.93,217.92,217.91,217.9,217.873,217.847,217.82,217.793,217.766,217.739,217.712,217.685,217.657,217.633,217.613,217.592,217.571,217.55,217.528,217.505
D16_x,432.321,432.824,432.724,432.6,432.404,432.232,432.115,432.241,432.701,433.499,433.611,433.591,433.575,433.558,433.517,433.457,433.393,433.344,433.326,433.329,433.332,433.333,433.336,433.34,433.341,433.341,433.342,433.343,433.345,433.35,433.352,433.356,433.362,433.368,433.376,433.38,433.386,433.393,433.399,433.406,433.412,433.418,433.424,433.43,433.437,433.443,433.449,433.455,433.461,433.467
D16_y,193.385,183.853,184.152,184.485,184.941,185.299,185.536,185.321,184.363,181.455,179.582,178.982,178.673,178.421,178.051,177.649,177.297,177.045,176.933,176.905,176.875,176.841,176.812,176.787,176.753,176.719,176.685,176.65,176.613,176.593,176.56,176.531,176.509,176.49,176.477,176.449,176.432,176.414,176.396,176.379,176.361,176.344,176.326,176.308,176.291,176.273,176.255,176.238,176.22,176.202
D17_x,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256,24.9256
D17_y,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005,106.005
D18_x,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986,196.986
