,0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950
D17_y,497.18,497.056,497.056,497.056,497.056,497.056,497.056,497.056,497.056,497.056,497.056,497.056,497.056,498.724,498.859,496.873,498.732,500.558,491.31,487.126
D18_x,163.285,172.929,183.375,198.31,216.55,223.547,214.459,212.363,207.779,216.211,215.333,214.211,210.306,206.938,205.238,219.591,219.129,222.715,224.865,220.924
D18_y,275.771,283.052,283.909,281.887,290.457,307.497,329.495,332.001,341.226,342.881,319.582,316.778,311.577,307.078,306.525,301.5,296.667,294.62,302.439,305.855
D19_x,319.358,318.237,316.703,315.003,313.205,324.939,330.119,349.778,346.303,355.894,355.816,355.935,352.372,353.003,344.181,336.506,329.858,326.277,319.774,320.044
D19_y,304.044,299.982,295.223,290.521,285.856,290.217,287.889,297.589,315.386,312.401,325.718,330.841,328.054,324.539,330.01,328.881,334.59,334.77,337.8,340.675
D20_x,234.923,231.951,233.923,242.502,251.583,271.516,266.557,270.807,265.32,261.551,257.438,257.529,256.393,256.378,256.377,256.393,256.471,257.801,258.435,263.131
D20_y,169.012,174.696,178.084,180.433,190.243,185.648,156.329,151.493,144.659,146.754,149.595,149.973,150.259,150.284,150.285,150.259,150.128,148.588,140.045,136.104
D21_x,88.7841,88.4115,88.1007,88.1184,88.8672,88.8812,88.774,88.8987,88.8657,88.2038,88.1129,88.0517,87.1366,82.7843,80.045,79.786,80.7005,86.4047,87.4375,85.1191
D21_y,469.359,468.139,467.861,467.834,466.91,466.896,467.008,466.879,466.912,466.541,466.06,465.865,464.088,465.468,463.068,462.274,460.288,461.814,461.714,464.697
D22_x,151.308,151.308,151.308,151.308,151.308,151.308,151.308,151.308,151.308,151.308,151.308,151.308,151.308,151.308,151.308,151.308,151.308,151.308,151.308,151.308
D22_y,25.717,25.717,25.717,25.717,25.717,25.717,25.717,25.717,25.717,25.717,25.717,25.717,25.717,25.717,25.717,25.717,25.717,25.717,25.717,25.717
