,0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950
D246_y,460.236,458.737,460.839,461.4,463.102,463.102,463.664,463.752,466.446,466.799,465.782,466.645,465.268,471.176,471.26,475.71,478.464,480.78,485.034,481.473
D247_x,476.921,475.707,475.707,475.707,475.707,475.707,475.707,475.707,475.707,480.145,479.556,479.469,489.562,496.834,487.787,496.656,503.225,501.893,502.21,502.151
D247_y,120.53,118.661,118.661,118.661,118.661,118.661,118.661,118.661,118.661,119.563,115.858,114.688,108.653,109.439,108.144,94.0716,91.838,92.836,91.7947,91.2586
D248_x,64.338,56.9405,52.3506,47.4925,43.9525,40.2917,40.0551,44.2623,49.6241,47.7383,46.0547,45.5719,45.2984,43.2525,42.8889,41.2774,41.2704,38.954,32.1732,29.294
D248_y,233.688,244.062,245.052,246.235,249.737,254.243,258.006,260.613,263.548,270.504,272.565,273.954,274.589,274.801,275.734,276.965,269.682,270.395,273.679,271.91
D249_x,14.1173,13.4673,13.4673,13.4673,13.4673,13.4673,13.4673,13.4673,13.4673,13.4509,12.7969,12.7961,12.796,12.796,12.7959,12.7959,12.7958,12.5159,5.11222,2.53116
D249_y,464.896,465.234,465.234,465.234,465.234,465.234,465.234,465.234,465.234,465.245,465.662,465.662,465.662,465.662,465.662,465.662,465.662,465.363,467.563,467.81
D250_x,18.765,18.765,18.765,18.765,17.7516,15.2327,10.8064,10.6837,10.4782,7.38995,10.1912,11.0195,11.3817,10.9408,9.05512,8.55272,7.98094,8.68334,24.0641,24.1215
D250_y,344.741,344.741,344.741,344.741,345.851,347.806,352.503,352.614,352.727,355.863,357.686,358.45,358.651,357.867,359.953,354.982,352.953,353.354,356.518,346.033
D251_x,388.786,391.943,391.974,391.974,391.974,391.974,396.036,413.864,406.587,408.077,402.137,401.801,388.562,387.437,389.582,393.255,393.267,393.267,393.267,393.267
D251_y,184.088,181.578,181.574,181.574,181.574,181.574,181.406,184.508,180.075,168.672,160.494,164.119,169.45,171.56,172.801,178.833,179.394,179.394,179.394,179.394
D252_x,408.639,406.836,406.831,406.831,406.831,406.827,406.767,406.092,405.339,406.318,402.947,401.586,396.682,396.65,387.786,383.256,380.835,378.27,378.103,377.843
D252_y,98.915,95.5249,95.5181,95.5181,95.5181,95.512,95.4192,94.9009,93.8243,90.6874,81.3237,80.0706,77.2595,77.2517,78.5371,83.415,84.6068,84.6183,81.0314,78.4668
D253_x,380.05,380.435,380.417,380.588,380.733,381.85,378.639,372.261,362.653,352.49,376.334,413.913,405.336,389.23,383.474,382.133,381.387,376.717,379.664,379.455
D253_y,228.207,225.921,225.94,226.099,226.287,227.161,228.434,236.698,242.137,264.389,254.727,248.365,272.052,284.027,277.916,273.334,266.27,264.678,262.773,257.858
D254_x,4.74214,2.81552,2.81552,2.81552,2.81552,2.81552,2.81552,2.81554,2.14741,2.1053,2.10506,2.06725,-0.821304,-2.82876,8.01006,6.49443,6.63103,3.40252,8.6949,5.49193
D254_y,417.126,416.932,416.932,416.932,416.932,416.932,416.932,416.932,416.72,416.704,416.704,416.689,415.722,421.584,413.341,414.632,414.633,417.506,412.26,417.851
D255_x,69.8567,70.6752,70.4922,70.4819,70.4815,70.4814,70.4813,70.4813,70.4813,69.7199,69.4812,69.4766,69.4753,66.758,64.4694,64.3331,62.2083,55.6024,56.8243,56.5543
D255_y,465.81,465.305,465.165,465.157,465.156,465.156,465.156,465.156,465.156,465.17,465.083,464.875,464.773,466.658,470.627,470.783,472.064,475.755,474.535,472.248
D256_x,208.333,211.182,212.271,209.913,210.481,218.27,197.028,196.525,195.427,192.135,188.698,189.764,183.118,181.205,180.937,176.051,174.066,176.594,178.926,180.263
D256_y,347.523,352.209,354.583,350.966,346.38,350.162,343.163,341.777,337.752,339.102,331.164,342.732,343.918,339.561,338.311,339.681,343.858,347.005,350.17,346.919
D257_x,233.102,233.165,233.561,233.871,234.898,235.209,235.375,234.603,234.603,234.623,233.115,233.138,233.968,234.813,234.929,235.378,235.405,235.251,233.93,225.774
D257_y,75.1339,74.0173,73.4949,75.9773,77.3092,77.5885,78.658,82.4981,82.4981,82.6301,82.2333,80.9527,78.5046,77.792,77.6398,77.0585,76.8569,76.6661,76.4751,72.4554
D258_x,441.701,444.152,444.152,444.152,444.152,444.152,444.152,444.141,451.206,460.108,459.058,454.429,441.548,469.077,466.79,464.052,468.254,465.191,465.217,466.508
D258_y,175.08,172.643,172.643,172.643,172.643,172.643,172.643,172.641,168.069,176.849,177.781,183.633,186.804,173.533,159.253,145.219,147.822,145.419,145.338,144.292
D259_x,316.079,306.743,301.307,296.658,293.492,288.491,285.936,304.007,305.842,295.239,296.266,301.727,310.551,314.63,317.762,321.134,324.965,330.329,335.613,329.904
D259_y,328.475,329.838,329.494,326.508,322.321,305.538,323.988,331.903,327.882,323.9,322.484,316.241,314.565,314.626,310.909,309.203,318.176,319.931,317.905,315.357
D260_x,234.903,234.903,234.903,234.903,232.937,230.534,228.404,227.316,226.457,226.368,226.368,225.985,226.855,226.854,227.613,228.775,231.133,233.548,233.804,233.986
D260_y,103.636,103.636,103.636,103.636,99.8624,96.3902,94.4099,94.7457,93.0998,92.8851,92.8842,91.4816,90.996,90.9653,89.6621,88.4309,90.8126,93.7077,94.8367,95.0063
D261_x,325.353,329.489,329.489,329.489,329.489,329.489,329.786,329.749,328.769,328.159,328.445,328.578,328.096,327.945,327.33,325.077,322.181,321.848,321.848,321.886
D261_y,61.7095,60.6021,60.6021,60.6021,60.6021,60.6021,60.4472,60.2881,59.6379,59.1672,59.1107,58.5808,58.1094,58.0195,57.6589,56.5895,56.6605,56.6733,56.2525,55.6984
D262_x,423.217,423.217,423.217,423.217,423.217,423.217,423.217,423.217,423.217,423.217,423.243,427.237,426.944,425.095,424.693,427.752,430.937,431.028,432.233,432.635
D262_y,85.2102,85.2102,85.2102,85.2102,85.2102,85.2102,85.2102,85.2102,85.2101,85.21,85.115,84.4829,83.2612,80.0307,76.1251,74.2285,69.5179,69.3154,66.0555,65.8181
D263_x,108.066,102.27,99.1245,96.1058,95.9516,94.366,91.3504,97.0085,90.1887,90.7658,92.6522,89.8228,76.8858,75.1817,62.6056,59.6742,53.7387,64.7083,47.8901,57.9868
D263_y,363.879,362.219,361.867,362.437,362.373,362.491,363.225,360.155,367.181,360.728,363.623,369.379,361.604,351.38,347.805,345.457,346.799,361.632,364.529,355.604
D264_x,264.086,263.822,263.822,263.822,264.884,268.778,274.929,275.29,273.945,273.572,270.063,267.919,267.79,267.785,267.769,267.624,267.548,267.015,266.952,265.392
D264_y,112.61,112.363,112.363,112.363,110.659,99.3061,88.4715,80.1204,78.3907,78.2292,74.908,71.9761,71.4295,71.4031,71.3203,70.8404,70.7409,70.6914,70.7009,70.5754
D265_x,319.617,320.023,320.023,320.023,320.023,320.023,320.289,320.284,320.022,319.8,319.76,319.849,319.823,319.822,319.794,317.505,314.458,313.446,313.183,313.056
D265_y,55.3784,56.4255,56.4255,56.4255,56.4255,56.4255,57.8523,58.1055,57.7503,57.4312,57.781,58.6623,59.5187,59.5234,59.6378,66.6022,66.9543,66.3047,64.8063,64.4097
D266_x,448.555,454.923,454.957,454.998,455.062,455.131,455.164,455.27,460.639,458.746,463.397,464.331,467.436,469.207,449.98,448.151,445.265,441.044,445.689,446.29
D266_y,114.941,116.956,117.03,117.123,117.274,117.453,117.544,117.594,122.593,127.938,124.275,121.354,118.341,116.992,94.6949,95.3634,94.8414,97.9277,103.814,107.051
D267_x,384.859,384.989,384.99,384.99,384.99,384.99,385.041,386.508,386.615,387.417,387.89,386.873,384.059,384.184,384.822,385.496,385.214,385.214,385.126,384.48
D267_y,68.8127,68.9092,68.9095,68.9095,68.9095,68.9095,68.9461,69.7205,69.7594,69.9839,70.0651,68.1646,62.6803,62.247,61.0008,59.7669,58.6425,58.6425,58.514,57.431
D268_x,485.747,485.972,485.972,485.972,485.972,485.972,485.972,485.972,485.972,485.806,487.855,490.02,494.03,489.314,486.573,490.268,488.503,488.596,488.596,488.747
D268_y,89.0494,89.7007,89.7007,89.7007,89.7007,89.7006,89.7006,89.7006,89.7006,89.6759,88.3338,88.1903,89.8088,92.6196,82.1802,73.6234,70.3132,70.3568,70.3568,70.0682
D269_x,389.095,393.231,400.787,406.01,413.509,410.944,410.376,411.171,413.025,415.684,413.69,406.37,409.52,416.871,423.792,416.48,411.296,413.509,416.77,416.602
D269_y,373.388,367.985,360.277,353.346,357.667,365.358,368.954,369.72,368.323,366.108,361.191,356.968,357.116,355.284,350.751,345.83,336.447,347.283,337.312,325.189
D270_x,165.002,173.12,175.461,188.809,207.624,218.654,205.545,192.929,185.821,187.207,198.335,188.085,186.351,186.494,183.311,184.921,185.731,182.667,183.699,187.119
D270_y,247.563,263.554,264.187,273.241,276.521,275.576,293.836,300.518,289.75,284.246,280.784,275.754,277.795,266.277,265.491,264.339,256.734,256.893,258.224,259.647
D271_x,366.373,369.594,369.594,369.594,369.594,369.618,368.876,389.334,393.777,400.664,406.169,400.909,401.946,402.056,401.261,401.896,397.748,392.973,390.78,390.502
D271_y,134.935,129.384,129.384,129.384,129.384,129.355,128.842,135.532,133.546,135.47,120.308,111.983,106.666,106.505,101.194,98.0289,93.8676,91.8832,90.7541,90.4328
D272_x,308.799,307.726,307.725,308.032,313.186,318.493,329.76,329.044,336.688,337.266,341.654,336.671,335.35,335.653,333.91,326.805,326.805,326.805,326.433,326.466
D272_y,185.754,183.583,183.58,182.927,186.016,179.392,182.428,179.292,182.994,172.624,169.702,175.109,180.875,182.127,184.349,190.292,190.292,190.292,190.359,190.582
D273_x,248.188,246.347,246.347,246.347,246.347,245.817,245.525,243.087,243.553,243.553,243.671,243.996,245.232,245.514,245.552,245.661,245.661,245.661,240.584,240.584
D273_y,60.6356,63.3827,63.3827,63.3827,63.3827,63.2315,63.2009,61.7825,60.8808,60.8808,60.6934,60.2935,58.3169,58.2234,58.2153,58.1996,58.1996,58.1996,59.887,59.887
D274_x,311.072,306.489,303.298,294.332,286.662,283.357,274.044,267.893,259.417,246.261,238.114,237.504,244.39,246.379,244.077,249.398,252.419,254.142,254.196,254.779
D274_y,395.496,397.802,405.378,394.663,399.669,403.72,401.213,402.953,404.291,408.78,412.7,412.462,411.055,406.119,407.005,406.421,402.099,398.508,398.682,398.439
D275_x,363.112,363.112,363.112,363.112,363.112,364.17,366.751,373.194,363.737,385.377,396.377,413.649,417.285,415.756,404.373,400.93,400.265,397.974,396.672,396.672
D275_y,192.927,192.927,192.927,192.927,192.927,192.495,192.615,192.292,187.105,185.247,174.873,164.992,165.568,175.723,170.857,175.766,176.132,176.819,177.35,177.35
D276_x,481.199,477.217,477.217,477.216,477.214,477.214,478.312,480.648,481.453,481.632,482.044,485.612,493.726,449.187,493.062,495.99,492.635,499.718,501.516,499.722
D276_y,270.746,270.175,270.175,270.173,270.172,270.172,271.115,271.538,271.666,271.804,275.645,282.152,274.805,287.916,300.904,334.609,325.825,312.397,307.377,294.301
D277_x,37.4956,34.1767,33.7336,33.5894,32.573,31.7319,28.8381,28.8322,30.5282,31.9366,32.7248,31.0609,31.1879,22.8981,19.0648,21.3961,22.2995,24.4644,25.6789,24.4986
D277_y,346.835,342.809,342.582,342.505,339.598,339.82,346.343,347.386,354.326,356.624,359.267,361.752,363.878,371.307,374.552,377.808,379.567,385.51,386.981,388.707
D278_x,128.667,127.635,131.108,142.576,143.004,147.9,148.237,152.228,155.842,161.048,157.414,157.599,173.915,185.749,184.518,183.785,176.942,176.828,178.746,182.356
D278_y,317.092,314.01,312.7,313.689,311.141,307.598,300.647,298.617,292.155,302.673,296.654,297.869,284.713,278.912,276.935,274.083,277.524,277.202,275.629,277.594
D279_x,374.366,374.183,374.183,374.183,374.183,374.183,373.721,380.462,386.064,385.803,397.388,397.082,398.109,396.832,387.709,390.521,383.853,382.784,381.315,381.315
D279_y,205.918,205.79,205.79,205.79,205.79,205.79,205.464,188.613,178.772,161.37,136.9,138.739,133.827,132.848,137.049,146.691,149.856,150.228,151.019,151.019
D280_x,154.091,165.038,167.753,164.628,143.281,142.903,144.349,140.803,137.752,137.953,139.57,141.126,142.282,142.525,143.959,142.089,135.416,129.348,123.747,120.125
D280_y,207.103,248.972,253.784,269.297,276.546,275.086,264.848,265.512,269.763,273.999,278.084,282.002,285.292,288.918,297.717,296.551,294.166,292.31,290.168,286.741
D281_x,285.395,281.175,277.418,276.796,284.443,293.228,294.808,278.075,267.662,262.781,270.689,270.232,272.202,277.932,275.129,279.078,279.277,279.415,277.816,273.247
D281_y,290.595,287.545,284.246,284.709,283.418,273.273,269.26,250.551,247.471,240.545,235.308,232.327,230.456,233.141,233.814,219.71,211.638,202.133,202.236,198.599
D282_x,448.973,449.116,449.116,450.146,449.818,450.633,450.114,454.749,455.634,453.046,446.528,437.797,433.012,425.272,425.746,421.698,399.469,390.509,388.653,388.538
D282_y,275.498,275.177,275.177,274.947,275.285,273.749,277.11,278.646,283.218,292.095,297.638,302.979,309.463,313.391,306.759,299.461,276.23,276.918,281.176,279.068
D283_x,197.687,195.919,194.827,195.385,193.056,190.7,189.032,188.909,188.909,188.909,188.909,188.909,188.967,188.102,187.866,187.614,187.461,187.479,187.389,187.379
D283_y,89.4628,87.9056,86.8655,86.3641,83.4873,87.6847,87.8214,87.8162,87.8162,87.8162,87.8162,87.8162,87.2436,86.9027,86.8586,86.8281,86.6376,86.4705,86.317,86.2999
D284_x,381.395,381.719,381.73,381.731,381.731,381.731,381.731,381.731,381.701,381.618,381.535,381.458,381.295,381.334,381.335,380.78,380.737,380.611,381.012,381.207
D284_y,17.7144,19.5236,19.541,19.542,19.542,19.542,19.542,19.542,19.3987,19.2727,19.2107,19.1313,18.9996,19.0322,19.0325,19.8694,20.6369,20.9673,20.1396,19.772
D285_x,89.9828,93.0633,93.0633,93.0633,93.0633,93.0633,93.1786,93.1786,93.1786,93.1786,93.1786,93.1786,93.1786,93.1786,93.1786,93.1786,93.1786,93.1786,93.1786,93.1786
D285_y,49.6644,46.6469,46.6469,46.6469,46.6469,46.6469,46.6135,46.6135,46.6135,46.6135,46.6135,46.6135,46.6135,46.6135,46.6135,46.6135,46.6135,46.6135,46.6135,46.6135
D286_x,485.021,483.835,483.835,483.835,483.835,483.835,483.835,483.835,484.404,485.368,485.155,480.11,476.344,474.333,489.483,481.029,475.569,475.237,475.237,475.237
D286_y,165.814,161.92,161.92,161.92,161.92,161.92,161.92,161.92,163.327,162.011,161.074,162.034,170.478,174.251,188.182,195.519,197.309,197.269,197.269,197.269
D287_x,84.52,82.972,82.518,82.5174,82.4123,82.3312,84.2019,86.1838,88.0985,88.7918,92.5154,94.6948,94.7509,95.3269,95.7274,96.7143,99.3874,99.504,100.23,100.373
D287_y,127.564,134.337,135.474,135.477,136.14,136.848,136.941,138.198,139.885,140.648,146.659,147.725,147.743,147.087,147.254,147.475,147.534,147.67,147.961,147.967
D288_x,49.9425,49.9883,49.9883,49.9883,49.9883,49.9883,49.9883,49.9883,49.9883,49.9883,49.9883,49.9883,49.9883,49.3337,47.2104,46.4637,46.6334,37.3851,27.2072,34.8815
D288_y,484.75,485.093,485.093,485.093,485.093,485.093,485.093,485.093,485.093,485.093,485.093,485.093,485.093,485.233,487.225,493.106,496.14,500.093,497.143,491.382
D289_x,456.831,457.439,458.443,452.319,451.97,443.182,443.49,444.285,441.381,444.272,445.402,443.109,445.82,448.244,445.144,454.253,438.853,426.784,428.864,425.635
D289_y,444.195,453.181,457.519,453.627,456.471,459.156,458.879,448.268,443.23,447.404,450.298,451.821,458.365,454.245,455.511,452.173,449.891,449.374,458.184,461.63
D290_x,491.266,496.8,496.8,496.802,496.8,496.8,496.8,496.8,496.8,494.718,501.185,471.458,473.801,461.566,442.096,422.494,406.169,428.0,431.81,446.491
D290_y,275.914,278.646,278.646,278.657,278.675,278.675,278.763,278.819,281.083,285.031,292.223,299.073,307.191,318.588,333.21,311.802,324.437,325.827,316.632,309.75
D291_x,130.594,131.333,130.795,130.736,130.736,130.736,129.342,128.317,121.398,119.418,115.943,110.715,112.447,108.712,107.042,107.088,110.196,112.714,111.507,112.796
D291_y,474.773,474.229,474.067,474.212,474.212,474.212,475.108,475.71,471.517,464.77,461.379,458.154,460.843,466.463,469.29,464.356,463.263,466.52,469.447,470.028
D292_x,329.026,332.017,332.017,332.017,332.017,332.017,339.659,351.33,354.972,358.408,358.259,350.743,349.794,349.794,349.794,350.556,351.046,361.019,365.073,365.395
D292_y,115.919,116.085,116.085,116.085,116.085,116.085,110.089,109.224,106.093,103.365,107.431,107.431,104.954,104.954,104.954,104.619,103.964,106.282,107.595,107.139
D293_x,118.211,115.049,111.196,108.069,107.793,106.779,106.272,106.843,106.421,106.415,106.22,106.087,106.087,106.08,105.267,104.167,104.046,103.029,101.168,100.895
D293_y,118.77,113.534,114.939,114.941,114.894,114.69,114.91,113.589,114.449,114.464,115.027,115.563,115.563,115.562,115.405,115.231,115.219,116.158,118.288,118.234
D294_x,378.011,369.864,369.864,369.864,369.864,369.864,369.789,370.5,367.037,369.216,374.951,370.794,360.418,359.445,353.905,352.182,352.013,351.316,349.351,349.351
D294_y,170.315,175.69,175.69,175.69,175.69,175.69,175.981,175.45,166.619,157.329,140.294,137.318,141.614,142.173,150.465,155.674,155.789,156.141,156.664,156.664
D295_x,7.53589,1.18961,-2.75624,-1.15399,0.633508,2.17989,3.09256,3.13531,5.39367,10.1771,9.71869,9.75206,9.67909,9.65036,9.92777,9.9261,9.97091,9.97025,9.96874,10.1956
D295_y,168.921,162.571,153.778,125.852,124.466,124.01,123.9,123.525,121.111,121.656,118.484,118.309,118.17,118.156,117.995,117.968,117.841,117.841,117.84,117.409
D296_x,61.1428,57.986,57.4343,57.0476,52.7296,52.3728,51.7311,51.1044,50.8428,50.6075,51.3758,51.6263,51.6393,51.6545,51.6677,51.6882,51.7056,51.7143,51.7223,51.7326
D296_y,111.857,93.5928,88.3678,87.7514,79.7886,79.5982,78.5788,77.5325,76.8914,76.0299,73.6668,73.3868,73.3743,73.3585,73.3443,73.3201,73.2995,73.29,73.2808,73.2681
D297_x,280.22,278.309,278.778,265.69,256.775,252.499,249.603,241.446,241.289,247.333,245.789,239.327,238.058,238.256,246.093,255.203,258.461,260.427,260.502,261.03
D297_y,442.634,444.542,447.032,454.215,456.279,459.915,452.254,452.804,453.765,454.705,441.303,428.559,430.512,426.537,419.751,404.422,403.796,399.626,397.589,397.064
D298_x,298.798,307.601,301.762,294.971,289.96,282.741,289.409,302.647,309.332,302.222,313.574,314.532,311.915,307.907,303.135,294.06,291.722,293.877,294.552,294.571
D298_y,406.203,406.528,419.464,437.558,441.689,460.725,450.949,454.29,462.151,456.597,456.126,452.534,457.571,457.648,460.23,460.892,459.448,450.194,448.191,447.413
D299_x,181.931,179.072,177.183,168.309,163.646,152.944,145.499,141.665,143.555,157.359,163.638,164.765,169.755,171.034,173.613,172.626,170.437,168.185,163.356,160.475
D299_y,331.833,328.776,330.921,331.564,338.579,348.428,359.302,368.142,366.432,366.368,372.725,371.383,378.789,369.097,370.253,377.637,385.836,396.998,398.378,399.501
D300_x,268.877,268.877,268.877,270.392,268.544,286.612,270.279,263.675,263.091,263.229,263.497,263.774,263.859,263.859,263.859,263.859,265.997,268.96,267.158,263.74
D300_y,192.505,192.505,192.505,190.811,183.95,166.586,159.156,155.377,156.863,156.633,156.708,159.453,159.587,159.587,159.587,159.587,158.42,154.459,155.327,158.119
D301_x,310.982,309.771,309.771,309.771,309.771,309.773,309.773,309.764,309.692,309.667,309.658,309.658,309.658,309.658,309.658,309.658,309.659,309.705,313.778,313.757
D301_y,0.779323,0.322825,0.3228,0.322742,0.322675,0.31658,0.316545,0.295409,0.221154,0.192407,0.181115,0.181115,0.181115,0.181115,0.181115,0.181058,0.17809,0.157093,3.17655,3.13675
D302_x,398.033,397.892,396.723,396.382,394.262,394.022,389.611,391.741,394.823,400.796,428.882,435.024,436.803,465.456,493.44,502.211,492.685,483.977,492.973,492.664
D302_y,256.768,260.249,261.322,262.024,261.646,261.584,255.717,252.44,251.549,255.018,243.226,257.87,237.193,242.219,243.398,279.085,306.107,306.142,298.76,290.228
D303_x,15.2313,24.1427,27.419,27.5247,27.6742,27.5284,28.972,29.5084,30.1022,29.8921,29.8882,29.8882,29.8882,29.8882,29.8882,29.8882,29.8882,29.8882,29.8883,29.8883
D303_y,85.1265,87.5316,85.0917,85.0588,80.2628,76.3728,72.6093,70.3248,65.2887,64.7888,64.7814,64.7814,64.7814,64.7814,64.7814,64.7814,64.7814,64.7814,64.7813,64.7813
D304_x,412.594,408.425,408.425,408.425,408.425,408.425,407.621,401.277,413.643,407.664,369.43,358.351,352.391,353.54,353.628,350.204,348.489,346.765,346.31,346.322
D304_y,186.604,190.194,190.194,190.194,190.194,190.194,188.83,190.989,197.349,178.736,169.717,159.16,165.317,163.144,163.044,161.721,161.14,161.307,164.1,164.143
D305_x,246.99,246.99,246.99,246.99,246.99,246.99,246.99,246.99,246.992,247.026,247.073,247.073,247.123,247.211,247.256,247.263,247.442,247.442,247.442,247.442
D305_y,29.3437,29.3437,29.3437,29.3437,29.3437,29.3437,29.3437,29.3437,29.3385,29.2558,29.1565,29.1565,29.069,28.9304,28.86,28.8495,28.5807,28.5807,28.5807,28.5807
D306_x,104.544,105.596,105.499,105.499,105.499,105.499,104.737,104.524,105.7,105.755,103.312,103.87,105.274,103.201,103.538,107.64,109.205,107.931,98.3986,88.9579
D306_y,483.557,481.124,481.096,481.096,481.096,481.096,481.54,481.706,482.781,483.231,486.64,488.264,491.809,494.17,494.363,493.601,493.715,491.464,496.92,497.208
D307_x,55.0752,56.2956,53.7618,50.2501,55.4551,52.499,56.9399,59.172,55.6283,52.3806,48.9442,48.6249,49.5992,55.9755,68.6484,69.09,65.1572,57.1713,49.4588,44.8682
D307_y,303.817,305.951,308.107,310.247,310.578,312.531,318.05,318.041,322.493,325.927,325.503,324.756,322.525,323.811,323.846,322.319,323.167,323.194,328.486,323.694
D308_x,280.863,286.4,287.164,287.246,297.302,313.88,309.43,317.578,315.163,310.705,314.199,315.854,314.499,314.505,314.65,314.65,314.65,314.786,314.924,316.475
D308_y,156.991,158.924,159.119,159.138,160.589,156.251,152.264,153.664,146.618,144.387,138.649,141.362,148.652,148.702,149.067,149.067,149.067,149.358,149.511,152.546
D309_x,186.959,186.973,186.973,186.973,186.973,186.973,186.973,186.973,186.973,186.973,186.973,186.973,186.973,186.973,186.973,186.973,186.973,186.764,185.419,185.387
D309_y,36.8626,36.8592,36.8592,36.8592,36.8592,36.8592,36.8592,36.8592,36.8592,36.8592,36.8592,36.8592,36.8592,36.8592,36.8592,36.8592,36.8592,36.8295,36.5823,36.5759
D310_x,338.321,329.323,319.297,308.987,300.875,292.516,284.371,275.131,268.405,256.413,244.329,239.24,248.573,257.468,255.005,254.477,255.403,258.644,258.629,258.557
D310_y,387.79,392.699,396.764,400.937,395.391,394.919,395.328,397.215,396.691,398.191,402.759,406.82,415.587,407.451,401.79,396.669,396.606,393.555,391.47,391.161
D311_x,180.383,185.925,187.89,188.804,187.323,185.815,179.614,176.39,175.668,174.379,168.472,169.596,167.213,171.572,175.989,167.324,170.823,169.82,167.622,165.69
D311_y,438.91,447.008,450.126,450.882,454.984,460.035,451.83,460.18,454.086,453.142,458.007,463.911,475.333,482.873,481.92,494.288,486.844,479.468,474.77,473.836
D312_x,216.303,222.479,223.252,223.654,220.693,209.949,205.347,191.76,199.855,205.407,200.395,194.729,199.376,219.584,218.23,226.662,223.684,220.648,219.424,213.111
D312_y,469.599,470.981,471.549,480.513,496.493,491.397,488.255,499.196,497.392,500.642,491.638,491.337,489.891,502.483,503.452,496.869,494.474,496.8,496.894,492.904
D313_x,144.809,142.857,139.122,136.4,138.381,121.277,112.954,112.528,103.595,99.965,97.6846,97.1021,91.3049,90.6908,94.3102,93.1268,83.8195,74.5236,79.3369,77.6314
D313_y,340.468,335.981,332.455,326.633,333.846,340.327,338.208,339.918,333.793,334.483,334.455,338.443,339.924,338.708,337.649,342.844,341.006,337.468,350.592,352.043
D314_x,178.623,170.411,167.038,161.206,162.019,166.306,166.119,177.231,179.1,175.289,182.939,179.24,152.295,135.545,140.022,141.194,137.504,132.975,129.411,127.876
D314_y,329.361,315.346,314.048,332.532,348.668,336.395,317.46,324.632,321.812,330.529,335.199,338.263,337.32,332.474,328.275,327.289,328.589,330.555,333.995,338.705
D315_x,86.0538,86.0538,86.0538,86.0538,86.0538,86.0538,86.0538,86.0538,86.0538,86.0538,86.0538,86.0538,86.0538,86.0538,86.0538,86.0538,86.0538,86.0538,86.0538,86.0538
D315_y,8.82169,8.82169,8.82169,8.82169,8.82169,8.82169,8.82169,8.82169,8.82169,8.82169,8.82169,8.82169,8.82169,8.82169,8.82169,8.82169,8.82169,8.82169,8.82169,8.82169
D316_x,32.5392,29.8592,26.0812,24.0544,24.0078,24.5911,23.6447,21.1576,17.6235,8.2603,7.63653,7.63653,7.63653,7.63653,7.63653,7.63653,7.63652,7.63651,7.63652,9.84824
D316_y,163.558,159.34,158.716,155.057,152.922,152.021,152.324,149.564,145.026,151.953,152.577,152.577,152.577,152.577,152.577,152.577,152.577,152.577,152.577,147.298
D317_x,406.126,406.764,411.845,417.203,425.948,428.404,431.034,421.102,420.811,420.561,423.252,419.952,413.495,417.492,414.213,420.123,410.475,417.955,415.029,419.163
D317_y,435.915,445.495,454.05,461.409,458.406,458.051,459.122,459.804,456.556,456.451,450.221,441.137,440.049,440.484,440.299,456.154,467.786,469.471,472.467,461.485
D318_x,173.501,175.311,174.829,172.312,168.631,164.374,162.517,162.434,162.289,161.631,160.725,159.345,154.732,150.957,147.846,163.558,161.713,156.394,146.458,141.257
D318_y,412.974,417.766,422.694,426.982,430.348,432.962,430.265,426.103,424.437,425.04,425.279,429.412,432.741,437.319,429.249,443.36,439.397,440.726,435.444,436.795
D319_x,461.376,461.145,461.145,461.145,461.145,461.145,461.145,461.145,461.145,460.91,460.61,460.404,459.497,456.276,456.822,460.036,459.768,460.266,460.273,460.273
D319_y,54.7661,54.3123,54.3123,54.3123,54.3123,54.3123,54.3123,54.3123,54.3123,53.8662,53.2427,52.3941,52.259,52.3693,52.4752,50.5041,48.9864,47.4623,47.4493,47.4493
D320_x,403.663,398.431,398.431,398.431,398.431,398.431,398.462,399.157,415.581,427.678,426.636,443.736,446.963,448.642,457.559,446.872,436.619,435.356,431.316,431.316
D320_y,159.27,160.246,160.246,160.246,160.246,160.246,160.676,161.046,155.645,156.949,157.604,171.16,156.944,135.948,127.783,134.555,136.874,141.443,141.34,141.34
D321_x,272.186,276.012,276.012,276.037,276.639,276.306,270.922,269.935,269.734,269.053,268.864,264.172,263.792,263.791,262.502,261.481,261.46,260.192,261.026,261.5
D321_y,106.443,106.967,106.967,106.963,106.488,105.465,104.534,103.522,103.354,102.297,98.9151,93.8802,93.8628,93.8622,93.04,92.4517,92.3955,91.8071,90.1319,91.382
D322_x,10.2098,11.1498,13.5433,13.7757,14.2308,13.5816,13.6427,13.6507,13.8436,13.8638,13.8723,13.8723,13.8723,13.8723,13.8723,13.8723,13.8723,13.8723,13.8723,13.8723
D322_y,101.066,100.358,94.4249,93.9807,92.3234,87.183,87.1042,87.0942,86.87,86.8484,86.8394,86.8394,86.8394,86.8394,86.8394,86.8394,86.8394,86.8394,86.8394,86.8394
D323_x,20.7163,20.3396,20.3376,20.3357,20.3355,20.3355,20.3355,20.3348,20.3348,20.3348,20.3204,20.3177,20.3206,20.3505,20.4142,20.4677,20.4769,18.5092,18.1948,21.9186
D323_y,485.007,484.698,484.696,484.695,484.695,484.695,484.695,484.694,484.694,484.694,484.682,484.679,484.675,484.636,484.559,484.5,484.057,477.286,477.078,485.659
